Transcript,sequence.length,best.hit.to.nr,hit.length,E.value,Bit.score,GO.Biological.Process,GO.Cellular.Component,GO.Molecular.Function,Enzyme,Domain,annotation.type,pval,adj.r.squared,padj,Apicea.type,Acarolinensis.type
39034|*|comp138576_c0_seq1,399,-,-,-,-,-,-,-,-,-,,5.90E-06,0.795364237,0.000267895,Bimodal,Intermediate
39044|*|comp2666790_c0_seq1,399,gi|307188345|gb|EFN73120.1| Probable cation-transporting ATPase 13A1 ,132,2.54E-76,276.917994,GO:0006200 ATP catabolic process | GO:0006816 calcium ion transport,GO:0016021 integral to membrane | GO:0016529 sarcoplasmic reticulum,GO:0005388 calcium-transporting ATPase activity | GO:0046872 metal ion binding | GO:0005524 ATP binding,-,-,GO only,1.32E-06,0.831213642,7.89779E-05,Bimodal,NotResp
39054|*|comp419295_c0_seq1,399,gi|7799413|emb|CAB91062.1| cytochrome b ,132,2.87E-77,280.058741,GO:0022904 respiratory electron transport chain | GO:0006118 electron transport,GO:0005743 mitochondrial inner membrane | GO:0070469 respiratory chain | GO:0016021 integral to membrane,GO:0046872 metal ion binding | GO:0016491 oxidoreductase activity | GO:0009055 electron carrier activity,-,-,GO only,4.51E-09,0.917999205,8.75E-07,Low,Intermediate
3920|*|comp150747_c0_seq5,2415,gi|322786153|gb|EFZ12759.1| hypothetical protein SINV_12000 ,191,2.69E-48,197.053281,-,-,-,-,pfam13359 DDE_4 | pfam04827 Plant_tran,Domain only,1.11015E-05,0.777983498,0.000440009,Bimodal,Bimodal
39467|*|comp122618_c0_seq1,395,-,-,-,-,-,-,-,-,-,,2.87E-06,0.813529015,0.000148503,Low,Low
3946|*|comp144566_c0_seq1,2406,gi|332022959|gb|EGI63225.1| Eukaryotic translation initiation factor 4H ,263,4.59E-166,574.84029,GO:0006446 regulation of translational initiation,GO:0005840 ribosome,GO:0000166 nucleotide binding | GO:0003743 translation initiation factor activity,-,pfam00076 RRM_1 | pfam14259 RRM_6,GO & Domain,1.02E-06,0.836736763,6.45779E-05,Low,Intermediate
3949|*|comp144112_c0_seq1,2406,gi|332018452|gb|EGI59042.1| Mitogen-activated protein kinase 14B ,360,4.19E-248,847.187932,GO:0000165 MAPKKK cascade | GO:0006468 protein phosphorylation | GO:0007178 transmembrane receptor protein serine/threonine kinase signaling pathway | GO:0009069 serine family amino acid metabolic process,-,GO:0004707 MAP kinase activity | GO:0005524 ATP binding,2.7.11.24 ,pfam00069 Pkinase | pfam07714 Pkinase_Tyr,GO & Enzyme & Domain,8.52E-06,0.785448824,0.000358564,Low,Low
39535|*|comp137700_c1_seq1,395,-,-,-,-,-,-,-,-,-,,1.24E-09,0.930317338,3.11E-07,Bimodal,Low
39612|*|comp137299_c0_seq1,394,-,-,-,-,-,-,-,-,-,,9.25E-07,0.838700079,5.9962E-05,Bimodal,Bimodal
3964|*|Contig711,2400,gi|332021901|gb|EGI62237.1| hypothetical protein G5I_09487 ,459,3.49E-239,817.575174,-,-,-,-,-,,4.91E-06,0.80015857,0.000230548,Intermediate,Intermediate
39722|*|comp150323_c2_seq25,393,-,-,-,-,-,-,-,-,-,,1.25E-06,0.832363489,7.57995E-05,Intermediate,Intermediate
39727|*|comp168155_c0_seq1,393,-,-,-,-,-,-,-,-,-,,2.12E-10,0.944218403,7.11E-08,NotResp,Intermediate
3990|*|comp142317_c0_seq1,2392,gi|307199471|gb|EFN80084.1| Flotillin-1 ,426,8.77E-274,932.436782,GO:0055085 transmembrane transport | GO:0032259 methylation,GO:0005743 mitochondrial inner membrane | GO:0016021 integral to membrane | GO:0016600 flotillin complex,GO:0008168 methyltransferase activity | GO:0005198 structural molecule activity | GO:0005215 transporter activity,-,pfam01145 Band_7,GO & Domain,1.05E-06,0.836086395,6.62254E-05,Low,Intermediate
3996|*|comp133602_c0_seq1,2390,gi|383865821|ref|XP_003708371.1| PREDICTED: uncharacterized protein K02A2.6-like ,515,1.16E-180,623.297531,GO:0006278 RNA-dependent DNA replication | GO:0006508 proteolysis | GO:0015074 DNA integration,-,GO:0003964 RNA-directed DNA polymerase activity | GO:0003723 RNA binding | GO:0004190 aspartic-type endopeptidase activity | GO:0008270 zinc ion binding,-,pfam00665 rve | pfam13683 rve_3,GO & Domain,1.08203E-05,0.778718757,0.000432217,Low,Low
39990|*|comp148777_c0_seq2,391,-,-,-,-,-,-,-,-,-,,4.05E-14,0.980968597,6.21E-11,Low,Low
4009|*|comp145442_c0_seq1,2386,"gi|332020085|gb|EGI60531.1| LETM1 and EF-hand domain-containing protein anon-60Da, mitochondrial ",333,4.02E-190,654.705002,GO:0006308 DNA catabolic process,GO:0016021 integral to membrane,GO:0004531 deoxyribonuclease II activity | GO:0005509 calcium ion binding,-,pfam10368 YkyA | pfam01920 Prefoldin_2 | pfam01441 Lipoprotein_6 | pfam07083 DUF1351,GO & Domain,7.48E-08,0.882937638,8.36E-06,Low,Low
4015|*|Contig3196,2384,-,-,-,-,-,-,-,-,-,,8.15E-06,0.786683777,0.000346152,Intermediate,Intermediate
40242|*|comp95352_c0_seq1,389,gi|8573386|gb|AAF77238.1| NADH dehydrogenase subunit 1 ,129,1.06E-74,271.533856,"GO:0006120 mitochondrial electron transport, NADH to ubiquinone | GO:0006744 ubiquinone biosynthetic process | GO:0006814 sodium ion transport | GO:0015992 proton transport",GO:0005886 plasma membrane | GO:0005747 mitochondrial respiratory chain complex I | GO:0016021 integral to membrane,GO:0048038 quinone binding | GO:0008137 NADH dehydrogenase (ubiquinone) activity,1.6.5.3 ,-,GO & Enzyme,1.15E-08,0.907631781,1.85E-06,Low,High
4029|*|comp148417_c0_seq1,2382,-,-,-,-,-,-,-,-,-,,3.68E-06,0.807439226,0.000182282,Low,Low
40351|*|Contig4,389,gi|332023953|gb|EGI64171.1| DNA (cytosine-5)-methyltransferase PliMCI ,64,6.00E-26,123.470064,GO:0090116 C-5 methylation of cytosine | GO:0006555 methionine metabolic process,GO:0005634 nucleus,GO:0003886 DNA (cytosine-5-)-methyltransferase activity | GO:0003677 DNA binding | GO:0008270 zinc ion binding,-,-,GO only,1.84E-15,0.987078733,4.30E-12,Bimodal,Intermediate
4037|*|comp145471_c0_seq1,2381,gi|332022227|gb|EGI62542.1| CCR4-NOT transcription complex subunit 4 ,289,1.02E-189,653.358968,GO:0006457 protein folding,GO:0016272 prefoldin complex,GO:0003723 RNA binding | GO:0051082 unfolded protein binding | GO:0008270 zinc ion binding | GO:0000166 nucleotide binding,-,-,GO only,5.07E-07,0.850621837,3.73454E-05,Low,Low
40598|*|comp141673_c0_seq1,387,-,-,-,-,-,-,-,-,pfam14194 Cys_rich_VLP,Domain only,1.65E-06,0.826353944,9.44082E-05,Low,Low
40614|*|Contig4553,387,-,-,-,-,-,-,-,-,-,,2.11E-12,0.968766416,1.51E-09,Low,Low
4061|*|comp149605_c3_seq3,2375,gi|322801321|gb|EFZ22008.1| hypothetical protein SINV_80869 ,216,1.51E-137,480.169199,-,-,-,-,-,,7.58E-07,0.842760765,5.16062E-05,Low,Low
4072|*|Contig2150,2369,gi|307190476|gb|EFN74499.1| hypothetical protein EAG_13313 ,108,6.11E-20,107.766328,-,-,-,-,-,,1.09635E-05,0.778342262,0.000437048,Low,Low
40838|*|comp142800_c0_seq3,385,-,-,-,-,-,-,-,-,-,,9.13E-09,0.910343222,1.55E-06,Low,Low
4085|*|comp145855_c1_seq1,2366,gi|332020274|gb|EGI60708.1| hypothetical protein G5I_11073 ,133,5.75E-63,241.472419,-,-,-,-,-,,1.24E-06,0.832519985,7.5529E-05,Low,Low
40874|*|comp1713183_c0_seq1,385,gi|543578022|ref|WP_021026470.1| MFS transporter ,127,3.70E-60,226.66604,GO:0055114 oxidation-reduction process | GO:0006118 electron transport,-,"GO:0043805 indolepyruvate ferredoxin oxidoreductase activity | GO:0046872 metal ion binding | GO:0047121 isoquinoline 1-oxidoreductase activity | GO:0009055 electron carrier activity | GO:0051537 2 iron, 2 sulfur cluster binding | GO:0030976 thiamine pyrophosphate binding",-,-,GO only,9.73E-06,0.781740578,0.000399661,Intermediate,Low
40898|*|Contig3952,385,-,-,-,-,-,-,-,-,-,,5.36E-10,0.937326859,1.55E-07,Intermediate,Intermediate
40942|*|comp146714_c1_seq11,385,-,-,-,-,-,-,-,-,-,,3.13E-17,0.992240877,1.53E-13,NotResp,Low
4099|*|comp149927_c2_seq4,2362,-,-,-,-,-,-,-,-,-,,7.82E-12,0.963174495,4.48E-09,Intermediate,Intermediate
41015|*|comp141010_c0_seq1,384,-,-,-,-,-,-,-,-,-,,3.06E-07,0.859957449,2.50189E-05,Low,Low
41062|*|comp149078_c1_seq1,384,-,-,-,-,-,-,-,-,-,,5.61E-11,0.952822355,2.29E-08,Low,Low
41300|*|comp225869_c0_seq1,382,gi|307171229|gb|EFN63189.1| hypothetical protein EAG_04371 ,45,6.37E-13,81.742995,GO:0006278 RNA-dependent DNA replication,-,GO:0003964 RNA-directed DNA polymerase activity | GO:0003723 RNA binding | GO:0008270 zinc ion binding,-,-,GO only,6.40E-08,0.885232513,7.46E-06,Bimodal,High
4132|*|comp144431_c0_seq3,2352,"gi|332031667|gb|EGI71121.1| Leucyl-tRNA synthetase, cytoplasmic ",329,9.63E-182,626.886957,GO:0006450 regulation of translational fidelity | GO:0032259 methylation | GO:0006429 leucyl-tRNA aminoacylation | GO:0009097 isoleucine biosynthetic process | GO:0009098 leucine biosynthetic process | GO:0009099 valine biosynthetic process | GO:0006555 methionine metabolic process,GO:0005737 cytoplasm,GO:0002161 aminoacyl-tRNA editing activity | GO:0004823 leucine-tRNA ligase activity | GO:0005524 ATP binding | GO:0008898 homocysteine S-methyltransferase activity,-,-,GO only,1.37E-07,0.87361815,1.33599E-05,Low,Low
41380|*|comp1264771_c0_seq1,382,gi|124266624|ref|YP_001020628.1| glycine dehydrogenase ,123,2.01E-65,241.472419,GO:0055114 oxidation-reduction process | GO:0019464 glycine decarboxylation via glycine cleavage system | GO:0006563 L-serine metabolic process | GO:0006566 threonine metabolic process,-,GO:0004375 glycine dehydrogenase (decarboxylating) activity | GO:0030170 pyridoxal phosphate binding,-,-,GO only,1.14E-06,0.834240821,7.08193E-05,High,Low
41391|*|comp149418_c0_seq2,382,-,-,-,-,-,-,-,-,-,,2.98E-06,0.812562278,0.000153627,High,Intermediate
4150|*|comp143586_c0_seq1,2346,gi|332018139|gb|EGI58748.1| Carboxypeptidase D ,310,1.03E-174,603.555692,GO:0006508 proteolysis,-,GO:0004181 metallocarboxypeptidase activity | GO:0008270 zinc ion binding,-,pfam13620 CarboxypepD_reg | pfam13715 Cna_B_2,GO & Domain,4.52E-07,0.852802331,3.40233E-05,Intermediate,Intermediate
41523|*|Contig2460,381,-,-,-,-,-,-,-,-,-,,4.71E-08,0.889614331,5.83E-06,High,Low
41525|*|comp163732_c0_seq1,381,-,-,-,-,-,-,-,-,-,,4.13E-09,0.918906207,8.08E-07,Low,High
4152|*|comp150034_c1_seq1,2345,gi|332020012|gb|EGI60463.1| Leucine-rich repeat-containing protein 15 ,337,4.24E-213,730.980289,GO:0000902 cell morphogenesis | GO:0007596 blood coagulation | GO:0007186 G-protein coupled receptor signaling pathway,GO:0016021 integral to membrane | GO:0031362 anchored to external side of plasma membrane,GO:0004930 G-protein coupled receptor activity,-,pfam13855 LRR_8 | pfam13306 LRR_5 | pfam12799 LRR_4,GO & Domain,6.84E-06,0.791425346,0.000301385,Low,Low
4157|*|comp143678_c0_seq1,2344,gi|332031611|gb|EGI71083.1| Hypoxia up-regulated protein 1 ,496,3.02E-293,997.046437,GO:0055114 oxidation-reduction process,-,GO:0032440 2-alkenal reductase [NAD(P)] activity | GO:0005524 ATP binding,-,-,GO only,1.03741E-05,0.779919947,0.000419866,Intermediate,Intermediate
41580|*|comp167667_c0_seq1,380,-,-,-,-,-,-,-,-,-,,7.49E-16,0.988454206,1.99E-12,Intermediate,Intermediate
41582|*|comp133413_c0_seq1,380,-,-,-,-,-,-,-,-,-,,5.24E-06,0.798459729,0.000243683,Low,Intermediate
41704|*|comp1224425_c0_seq1,379,-,-,-,-,-,-,-,-,-,,5.65E-06,0.796523062,0.000258741,Bimodal,Low
4180|*|comp150593_c2_seq1,2337,gi|322787455|gb|EFZ13543.1| hypothetical protein SINV_06878 ,273,1.43E-124,437.096096,-,-,-,-,-,,5.63E-07,0.848602981,4.04817E-05,High,High
4187|*|Contig4953,2336,gi|332025710|gb|EGI65868.1| Acylamino-acid-releasing enzyme ,596,0,1194.464826,GO:0006508 proteolysis,-,GO:0004252 serine-type endopeptidase activity,-,pfam00326 Peptidase_S9 | pfam05448 AXE1 | pfam12697 Abhydrolase_6 | pfam12695 Abhydrolase_5,GO & Domain,1.52E-08,0.90438937,2.26E-06,Low,Low
41916|*|comp149208_c0_seq28,378,-,-,-,-,-,-,-,-,-,,1.86E-06,0.823640453,0.000104106,Bimodal,Bimodal
41950|*|comp145859_c0_seq10,378,-,-,-,-,-,-,-,-,-,,7.56E-10,0.934547346,2.04E-07,High,Low
42125|*|comp1585657_c0_seq1,377,-,-,-,-,-,-,-,-,-,,2.00E-06,0.821925906,0.000110555,High,High
4215|*|Contig2373,2328,gi|307193411|gb|EFN76236.1| Beta-mannosidase ,293,1.10E-147,513.820061,GO:0005975 carbohydrate metabolic process,GO:0005764 lysosome,GO:0004567 beta-mannosidase activity,-,-,GO only,1.90E-09,0.926465207,4.34E-07,Low,Intermediate
42170|*|comp149401_c1_seq4,376,-,-,-,-,-,-,-,-,-,,2.79E-09,0.92282807,5.85E-07,High,Intermediate
42217|*|comp145042_c0_seq1,376,-,-,-,-,-,-,-,-,-,,1.54E-06,0.827800622,8.98097E-05,Bimodal,Intermediate
42324|*|comp147852_c2_seq2,375,-,-,-,-,-,-,-,-,-,,1.44E-07,0.872785025,1.39291E-05,Bimodal,Intermediate
42364|*|comp143371_c0_seq1,375,-,-,-,-,-,-,-,-,-,,9.62E-08,0.879142591,1.01498E-05,Low,Low
42424|*|comp142219_c0_seq1,375,-,-,-,-,-,-,-,-,-,,1.15E-12,0.971039554,9.12E-10,Low,Intermediate
4246|*|comp147905_c0_seq3,2320,gi|332031349|gb|EGI70862.1| Lysosomal acid phosphatase ,346,1.48E-202,695.983393,GO:0006771 riboflavin metabolic process | GO:0019497 hexachlorocyclohexane metabolic process,-,GO:0003993 acid phosphatase activity,3.1.3.2 ,pfam00328 His_Phos_2,GO & Enzyme & Domain,3.16E-06,0.81117426,0.00016135,High,Low
4248|*|comp150548_c2_seq13,2320,gi|322801413|gb|EFZ22074.1| hypothetical protein SINV_04212 ,339,2.94E-195,671.754772,GO:0006749 glutathione metabolic process | GO:0006691 leukotriene metabolic process | GO:0006693 prostaglandin metabolic process | GO:0019530 taurine metabolic process,-,GO:0003840 gamma-glutamyltransferase activity,-,pfam01019 G_glu_transpept,GO & Domain,4.37E-11,0.954278606,1.87E-08,Low,Intermediate
42545|*|comp150779_c1_seq5,374,-,-,-,-,-,-,-,-,-,,1.11E-06,0.834975671,6.89694E-05,Intermediate,Low
42557|*|comp118788_c0_seq1,374,-,-,-,-,-,-,-,-,-,,1.26E-06,0.832270732,7.60336E-05,High,Bimodal
42605|*|comp137655_c0_seq1,373,-,-,-,-,-,-,-,-,-,,2.36E-09,0.924412884,5.13E-07,Low,Intermediate
4260|*|comp141653_c0_seq2,2316,gi|307176250|gb|EFN65881.1| Protein phosphatase 1L ,485,3.65E-287,976.85592,GO:0006470 protein dephosphorylation,GO:0008287 protein serine/threonine phosphatase complex,GO:0046872 metal ion binding | GO:0004722 protein serine/threonine phosphatase activity,3.1.3.16 ,pfam00481 PP2C,GO & Enzyme & Domain,7.46E-08,0.882968491,8.35E-06,Low,Low
4262|*|comp150678_c0_seq3,2316,"gi|332022555|gb|EGI62857.1| 6PF-2-K/Fru-2,6-P2ASE liver/muscle isozyme ",537,0,1173.825631,"GO:0006000 fructose metabolic process | GO:0046835 carbohydrate phosphorylation | GO:0016311 dephosphorylation | GO:0006003 fructose 2,6-bisphosphate metabolic process | GO:0006096 glycolysis | GO:0006013 mannose metabolic process",-,"GO:0004331 fructose-2,6-bisphosphate 2-phosphatase activity | GO:0003873 6-phosphofructo-2-kinase activity | GO:0005524 ATP binding | GO:0019901 protein kinase binding",-,pfam01591 6PF2K | pfam00300 His_Phos_1 | pfam13671 AAA_33,GO & Domain,8.42E-09,0.91124627,1.45E-06,Bimodal,Intermediate
42663|*|comp159829_c0_seq1,373,-,-,-,-,-,-,-,-,-,,2.78E-10,0.942289005,8.86E-08,Bimodal,Intermediate
42716|*|comp147644_c0_seq2,372,-,-,-,-,-,-,-,-,-,,2.34E-06,0.818294427,0.000125708,Low,High
42789|*|comp100354_c0_seq1,372,-,-,-,-,-,-,-,-,-,,1.02099E-05,0.780373109,0.000414935,High,High
42819|*|comp143264_c0_seq4,372,-,-,-,-,-,-,-,-,-,,2.65E-07,0.862471554,2.23957E-05,Low,High
42839|*|comp150692_c1_seq1,372,-,-,-,-,-,-,-,-,-,,8.97E-09,0.910534001,1.53E-06,Low,Low
4294|*|comp138486_c0_seq1,2306,gi|328719758|ref|XP_003246851.1| PREDICTED: hypothetical protein LOC100571055 ,598,3.87E-112,395.817705,-,-,-,-,-,,2.48E-06,0.816975675,0.000131767,Low,Low
4297|*|comp142044_c0_seq2,2305,gi|332023111|gb|EGI63372.1| Thioredoxin domain-containing protein 11 ,398,3.94E-245,837.317012,GO:0045454 cell redox homeostasis,-,-,-,pfam00085 Thioredoxin,GO & Domain,8.46E-08,0.881098663,9.20E-06,Low,Low
4299|*|comp145975_c0_seq1,2304,gi|322797948|gb|EFZ19802.1| hypothetical protein SINV_05984 ,172,5.78E-51,205.129488,-,-,-,-,pfam13359 DDE_4,Domain only,8.91E-13,0.971960536,7.43E-10,Low,Low
43075|*|comp1749679_c0_seq1,370,-,-,-,-,-,-,-,-,-,,5.07E-08,0.888589908,6.18E-06,Low,High
4311|*|comp142957_c0_seq1,2301,gi|322790174|gb|EFZ15173.1| hypothetical protein SINV_00016 ,452,7.29E-270,919.425115,-,GO:0016021 integral to membrane,GO:0008270 zinc ion binding | GO:0005509 calcium ion binding,-,pfam13639 zf-RING_2 | pfam13923 zf-C3HC4_2 | pfam00097 zf-C3HC4 | pfam13920 zf-C3HC4_3 | pfam12678 zf-rbx1 | pfam12861 zf-Apc11 | pfam02891 zf-MIZ,GO & Domain,7.01E-07,0.844306144,4.86115E-05,Bimodal,Low
43144|*|comp96668_c0_seq1,370,-,-,-,-,-,-,-,-,-,,2.16E-11,0.958166307,1.02E-08,Low,Low
43286|*|comp1593472_c0_seq1,369,-,-,-,-,-,-,-,-,-,,5.73E-16,0.988836512,1.62E-12,High,Intermediate
43297|*|comp149014_c1_seq1,369,-,-,-,-,-,-,-,-,-,,1.33E-09,0.929689608,3.29E-07,Low,Low
43313|*|Contig3909,369,-,-,-,-,-,-,-,-,-,,1.30E-08,0.906247928,2.02E-06,Low,Low
4335|*|comp143913_c0_seq1,2295,gi|322780039|gb|EFZ09799.1| hypothetical protein SINV_11132 ,341,3.50E-229,784.37299,GO:0046331 lateral inhibition | GO:0007178 transmembrane receptor protein serine/threonine kinase signaling pathway | GO:0023014 signal transduction via phosphorylation event | GO:0048813 dendrite morphogenesis | GO:0045887 positive regulation of synaptic growth at neuromuscular junction | GO:0006468 protein phosphorylation | GO:0007274 neuromuscular synaptic transmission | GO:0009069 serine family amino acid metabolic process,GO:0005886 plasma membrane,"GO:0005026 transforming growth factor beta receptor activity, type II | GO:0004702 receptor signaling protein serine/threonine kinase activity | GO:0005524 ATP binding",-,-,GO only,2.46E-08,0.89835355,3.36E-06,Low,Low
43368|*|comp142762_c0_seq4,368,-,-,-,-,-,-,-,-,-,,4.26E-07,0.853923723,3.26204E-05,Low,High
43450|*|comp146055_c1_seq2,368,-,-,-,-,-,-,-,-,-,,9.26E-08,0.879712725,9.84E-06,Low,Intermediate
43470|*|comp601216_c0_seq1,368,-,-,-,-,-,-,-,-,-,,9.10E-06,0.783622391,0.000378658,NotResp,Low
43695|*|comp148403_c1_seq1,366,-,-,-,-,-,-,-,-,-,,4.86E-09,0.917210499,9.27E-07,Low,Low
43722|*|comp150442_c2_seq36,366,-,-,-,-,-,-,-,-,-,,1.14E-18,0.994871624,9.38E-15,Low,High
43911|*|comp3398790_c0_seq1,365,-,-,-,-,-,-,-,-,-,,2.09E-13,0.976623247,2.35E-10,Intermediate,Low
43967|*|comp917128_c0_seq1,364,-,-,-,-,-,-,-,-,-,,4.19E-06,0.804179257,0.000202498,High,NotResp
4399|*|comp138147_c0_seq1,2279,gi|322798644|gb|EFZ20248.1| hypothetical protein SINV_11927 ,315,7.94E-198,680.279657,"GO:0090305 nucleic acid phosphodiester bond hydrolysis | GO:0016055 Wnt receptor signaling pathway | GO:0006388 tRNA splicing, via endonucleolytic cleavage and ligation | GO:0051252 regulation of RNA metabolic process",GO:0016021 integral to membrane | GO:0005789 endoplasmic reticulum membrane | GO:0000214 tRNA-intron endonuclease complex,"GO:0000213 tRNA-intron endonuclease activity | GO:0003676 nucleic acid binding | GO:0046872 metal ion binding | GO:0016746 transferase activity, transferring acyl groups",-,pfam03062 MBOAT,GO & Domain,1.59E-06,0.827155071,9.1924E-05,Low,Low
4404|*|comp148739_c2_seq23,2277,gi|322784007|gb|EFZ11147.1| hypothetical protein SINV_00879 ,165,2.68E-94,336.592188,-,-,-,-,pfam01284 MARVEL,Domain only,2.46E-06,0.817121203,0.000131024,Low,Low
4407|*|comp149217_c0_seq1,2276,"gi|189242352|ref|XP_001810024.1| PREDICTED: similar to protease, reverse transcriptase, ribonuclease H, integrase ",336,4.07E-87,313.260924,GO:0006278 RNA-dependent DNA replication | GO:0006508 proteolysis | GO:0015074 DNA integration | GO:0051252 regulation of RNA metabolic process,-,GO:0004523 ribonuclease H activity | GO:0003964 RNA-directed DNA polymerase activity | GO:0003723 RNA binding | GO:0004190 aspartic-type endopeptidase activity | GO:0008270 zinc ion binding,-,pfam00665 rve,GO & Domain,2.01E-06,0.821887177,0.000110618,High,Low
440|*|comp149761_c0_seq1,5390,gi|332019214|gb|EGI59724.1| B-cell lymphoma/leukemia 11A ,466,0,1084.089999,-,-,GO:0003676 nucleic acid binding | GO:0046872 metal ion binding,-,pfam13465 zf-H2C2_2 | pfam13912 zf-C2H2_6 | pfam00096 zf-C2H2,GO & Domain,2.09E-06,0.820915873,0.000114762,Low,Low
44258|*|comp149850_c1_seq3,363,-,-,-,-,-,-,-,-,-,,5.91E-06,0.795351279,0.000267903,Bimodal,Intermediate
44306|*|comp147219_c0_seq2,362,-,-,-,-,-,-,-,-,-,,2.72E-09,0.923048965,5.75E-07,Low,Low
4444|*|comp134862_c0_seq1,2266,-,-,-,-,-,-,-,-,-,,1.16E-08,0.907624028,1.85E-06,Low,Low
44474|*|comp140015_c0_seq2,361,-,-,-,-,-,-,-,-,-,,8.47E-06,0.78561223,0.000356914,Low,NotResp
4447|*|comp150567_c0_seq22,2266,-,-,-,-,-,-,-,-,-,,1.59E-07,0.871157064,1.50365E-05,Low,Low
44514|*|comp38136_c0_seq1,361,-,-,-,-,-,-,-,-,-,,3.71E-07,0.85645579,2.93132E-05,High,Low
44621|*|comp149555_c1_seq8,361,-,-,-,-,-,-,-,-,-,,8.94E-13,0.971950016,7.43E-10,Low,Low
44665|*|comp134114_c0_seq2,360,-,-,-,-,-,-,-,-,-,,2.57E-07,0.863064201,2.18375E-05,Low,NotResp
4470|*|Contig1738,2257,gi|307170335|gb|EFN62671.1| Putative nuclease HARBI1 ,146,9.49E-81,294.416442,-,-,-,-,pfam13359 DDE_4,Domain only,1.26E-07,0.874855739,1.25659E-05,NotResp,Low
44734|*|comp147313_c0_seq2,360,-,-,-,-,-,-,-,-,-,,1.11E-08,0.908085759,1.79E-06,Low,Intermediate
44865|*|Contig4806,359,-,-,-,-,-,-,-,-,-,,6.48E-10,0.935807324,1.83E-07,Bimodal,Intermediate
44869|*|comp1332277_c0_seq1,359,-,-,-,-,-,-,-,-,-,,8.31E-07,0.840906325,5.51822E-05,High,High
44891|*|Contig2410,359,-,-,-,-,-,-,-,-,-,,1.14E-06,0.83433499,7.06841E-05,Low,Low
4490|*|comp139575_c0_seq5,2251,gi|307185035|gb|EFN71264.1| Serine/threonine-protein kinase PFTAIRE-1 ,493,0,1158.570573,GO:0007049 cell cycle | GO:0006468 protein phosphorylation | GO:0009069 serine family amino acid metabolic process,-,GO:0046872 metal ion binding | GO:0004693 cyclin-dependent protein kinase activity | GO:0020037 heme binding | GO:0005524 ATP binding,2.7.11.22  | 2.7.11.1 ,pfam00069 Pkinase | pfam07714 Pkinase_Tyr,GO & Enzyme & Domain,8.05E-06,0.787026887,0.000342753,Intermediate,Intermediate
44925|*|comp143435_c0_seq3,359,gi|322793986|gb|EFZ17229.1| hypothetical protein SINV_03508 ,96,7.43E-38,160.261672,-,-,GO:0046983 protein dimerization activity,-,-,GO only,4.23E-06,0.803987933,0.00020364,Intermediate,Intermediate
44947|*|comp147858_c0_seq6,359,-,-,-,-,-,-,-,-,-,,8.41E-18,0.993417268,5.15E-14,Low,Low
44955|*|comp149293_c6_seq1,359,-,-,-,-,-,-,-,-,-,,7.71E-07,0.842406293,5.22691E-05,Intermediate,Intermediate
45000|*|comp141845_c0_seq1,358,-,-,-,-,-,-,-,-,pfam14360 PAP2_C,Domain only,1.73E-11,0.959299809,8.54E-09,NotResp,High
45015|*|comp1607642_c0_seq1,358,-,-,-,-,-,-,-,-,-,,2.01E-06,0.821800873,0.000110912,Bimodal,NotResp
4507|*|Contig6013,2247,gi|332018913|gb|EGI59459.1| hypothetical protein G5I_12365 ,315,5.80E-208,713.930519,-,-,-,-,-,,6.03E-07,0.847283939,4.27623E-05,Low,Low
45087|*|comp150111_c2_seq1,358,gi|332017749|gb|EGI58418.1| hypothetical protein G5I_13478 ,41,0.00115,51.681558,-,-,-,-,-,,1.30E-11,0.960746386,6.78E-09,Bimodal,Intermediate
450|*|comp148751_c3_seq9,5356,gi|328786740|ref|XP_391849.4| PREDICTED: pumilio homolog 2 ,489,0,1075.116436,-,-,GO:0003723 RNA binding,-,pfam06775 Seipin | pfam00650 CRAL_TRIO | pfam13716 CRAL_TRIO_2,GO & Domain,3.23E-10,0.941198382,1.01E-07,Low,Low
45141|*|comp142453_c0_seq2,358,-,-,-,-,-,-,-,-,-,,7.20E-06,0.790049339,0.000313209,Low,Low
45215|*|comp2030425_c0_seq1,357,-,-,-,-,-,-,-,-,-,,1.59E-10,0.946238002,5.55E-08,Low,High
4524|*|comp145314_c0_seq1,2243,gi|332030649|gb|EGI70337.1| Centrosome-associated protein 350 ,174,9.86E-112,394.471671,-,-,-,-,-,,1.87E-06,0.823479751,0.000104669,Low,Low
4526|*|comp146301_c2_seq3,2243,gi|332021661|gb|EGI62020.1| DNL-type zinc finger protein ,166,6.51E-76,280.058741,-,GO:0005739 mitochondrion,GO:0008270 zinc ion binding,-,pfam05180 zf-DNL | pfam04032 Rpr2,GO & Domain,1.26E-09,0.930167174,3.15E-07,Low,Low
4528|*|comp146813_c0_seq2,2243,gi|332023177|gb|EGI63433.1| hypothetical protein G5I_08161 ,670,0,1264.00994,-,-,-,-,-,,4.37E-06,0.803140679,0.000208937,High,High
45301|*|comp1788364_c0_seq1,357,-,-,-,-,-,-,-,-,-,,7.09E-06,0.790467347,0.000310057,Low,NotResp
45328|*|comp102442_c0_seq1,356,-,-,-,-,-,-,-,-,-,,1.06872E-05,0.779072595,0.00042882,NotResp,Low
